,current_popularity,datetime,time_bin
338,15,4/6/2020 8:27,4/6/2020 8:20
339,14,4/6/2020 8:37,4/6/2020 8:35
340,16,4/6/2020 8:47,4/6/2020 8:35
341,20,4/6/2020 8:57,4/6/2020 8:50
342,19,4/6/2020 9:07,4/6/2020 9:05
343,18,4/6/2020 9:17,4/6/2020 9:05
344,18,4/6/2020 9:27,4/6/2020 9:20
345,17,4/6/2020 9:37,4/6/2020 9:35
346,19,4/6/2020 9:47,4/6/2020 9:35
347,21,4/6/2020 9:57,4/6/2020 9:50
348,19,4/6/2020 10:07,4/6/2020 10:05
349,18,4/6/2020 10:17,4/6/2020 10:05
350,18,4/6/2020 10:27,4/6/2020 10:20
351,18,4/6/2020 10:37,4/6/2020 10:35
352,21,4/6/2020 10:48,4/6/2020 10:35
353,21,4/6/2020 10:58,4/6/2020 10:50
354,23,4/6/2020 11:08,4/6/2020 11:05
355,22,4/6/2020 11:18,4/6/2020 11:05
356,22,4/6/2020 11:28,4/6/2020 11:20
357,22,4/6/2020 11:38,4/6/2020 11:35
358,25,4/6/2020 11:48,4/6/2020 11:35
359,30,4/6/2020 11:58,4/6/2020 11:50
360,29,4/6/2020 12:08,4/6/2020 12:05
361,28,4/6/2020 12:18,4/6/2020 12:05
362,26,4/6/2020 12:28,4/6/2020 12:20
363,28,4/6/2020 12:38,4/6/2020 12:35
364,31,4/6/2020 12:48,4/6/2020 12:35
365,31,4/6/2020 12:58,4/6/2020 12:50
366,33,4/6/2020 13:08,4/6/2020 13:05
367,32,4/6/2020 13:18,4/6/2020 13:05
368,30,4/6/2020 13:28,4/6/2020 13:20
369,33,4/6/2020 13:38,4/6/2020 13:35
370,36,4/6/2020 13:48,4/6/2020 13:35
371,36,4/6/2020 13:58,4/6/2020 13:50
372,33,4/6/2020 14:08,4/6/2020 14:05
373,33,4/6/2020 14:18,4/6/2020 14:05
374,32,4/6/2020 14:28,4/6/2020 14:20
375,37,4/6/2020 14:38,4/6/2020 14:35
376,44,4/6/2020 14:48,4/6/2020 14:35
377,46,4/6/2020 14:59,4/6/2020 14:50
378,41,4/6/2020 15:09,4/6/2020 15:05
379,41,4/6/2020 15:19,4/6/2020 15:05
380,40,4/6/2020 15:29,4/6/2020 15:20
381,44,4/6/2020 15:39,4/6/2020 15:35
382,51,4/6/2020 15:49,4/6/2020 15:35
383,52,4/6/2020 15:59,4/6/2020 15:50
384,46,4/6/2020 16:09,4/6/2020 16:05
385,46,4/6/2020 16:19,4/6/2020 16:05
386,44,4/6/2020 16:29,4/6/2020 16:20
387,49,4/6/2020 16:39,4/6/2020 16:35
388,54,4/6/2020 16:49,4/6/2020 16:35
389,55,4/6/2020 16:59,4/6/2020 16:50
390,49,4/6/2020 17:09,4/6/2020 17:05
391,45,4/6/2020 17:19,4/6/2020 17:05
392,47,4/6/2020 17:29,4/6/2020 17:20
393,53,4/6/2020 17:39,4/6/2020 17:35
394,53,4/6/2020 17:49,4/6/2020 17:35
395,64,4/6/2020 17:59,4/6/2020 17:50
396,59,4/6/2020 18:09,4/6/2020 18:05
397,53,4/6/2020 18:19,4/6/2020 18:05
398,54,4/6/2020 18:29,4/6/2020 18:20
399,58,4/6/2020 18:39,4/6/2020 18:35
400,57,4/6/2020 18:50,4/6/2020 18:50
401,66,4/6/2020 19:00,4/6/2020 18:50
402,59,4/6/2020 19:10,4/6/2020 19:05
403,52,4/6/2020 19:20,4/6/2020 19:20
404,50,4/6/2020 19:30,4/6/2020 19:20
405,50,4/6/2020 19:40,4/6/2020 19:35
406,46,4/6/2020 19:50,4/6/2020 19:50
407,48,4/6/2020 20:00,4/6/2020 19:50
408,42,4/6/2020 20:10,4/6/2020 20:05
409,37,4/6/2020 20:20,4/6/2020 20:20
410,33,4/6/2020 20:30,4/6/2020 20:20
411,29,4/6/2020 20:40,4/6/2020 20:35
412,24,4/6/2020 20:50,4/6/2020 20:50
413,22,4/6/2020 21:00,4/6/2020 20:50
414,4,4/7/2020 6:00,4/7/2020 5:50
415,4,4/7/2020 6:10,4/7/2020 6:05
416,4,4/7/2020 6:20,4/7/2020 6:20
417,5,4/7/2020 6:30,4/7/2020 6:20
418,5,4/7/2020 6:40,4/7/2020 6:35
419,7,4/7/2020 6:50,4/7/2020 6:50
420,10,4/7/2020 7:00,4/7/2020 6:50
421,9,4/7/2020 7:10,4/7/2020 7:05
422,10,4/7/2020 7:20,4/7/2020 7:20
423,11,4/7/2020 7:30,4/7/2020 7:20
424,11,4/7/2020 7:40,4/7/2020 7:35
425,15,4/7/2020 7:50,4/7/2020 7:50
426,19,4/7/2020 8:00,4/7/2020 7:50
427,18,4/7/2020 8:10,4/7/2020 8:05
428,18,4/7/2020 8:20,4/7/2020 8:20
429,18,4/7/2020 8:31,4/7/2020 8:20
430,18,4/7/2020 8:41,4/7/2020 8:35
431,21,4/7/2020 8:51,4/7/2020 8:50
432,25,4/7/2020 9:01,4/7/2020 8:50
433,22,4/7/2020 9:11,4/7/2020 9:05
434,21,4/7/2020 9:21,4/7/2020 9:20
435,21,4/7/2020 9:31,4/7/2020 9:20
436,20,4/7/2020 9:41,4/7/2020 9:35
437,22,4/7/2020 9:51,4/7/2020 9:50
438,23,4/7/2020 10:01,4/7/2020 9:50
439,21,4/7/2020 10:11,4/7/2020 10:05
440,20,4/7/2020 10:21,4/7/2020 10:20
441,18,4/7/2020 10:31,4/7/2020 10:20
442,19,4/7/2020 10:41,4/7/2020 10:35
443,21,4/7/2020 10:51,4/7/2020 10:50
444,20,4/7/2020 11:01,4/7/2020 10:50
445,19,4/7/2020 11:11,4/7/2020 11:05
446,19,4/7/2020 11:21,4/7/2020 11:20
447,19,4/7/2020 11:31,4/7/2020 11:20
448,21,4/7/2020 11:41,4/7/2020 11:35
449,25,4/7/2020 11:51,4/7/2020 11:50
450,25,4/7/2020 12:01,4/7/2020 11:50
451,23,4/7/2020 12:11,4/7/2020 12:05
452,24,4/7/2020 12:21,4/7/2020 12:20
453,23,4/7/2020 12:32,4/7/2020 12:20
454,25,4/7/2020 12:42,4/7/2020 12:35
455,28,4/7/2020 12:52,4/7/2020 12:50
456,28,4/7/2020 13:02,4/7/2020 12:50
457,26,4/7/2020 13:12,4/7/2020 13:05
458,26,4/7/2020 13:22,4/7/2020 13:20
459,25,4/7/2020 13:32,4/7/2020 13:20
460,28,4/7/2020 13:42,4/7/2020 13:35
461,32,4/7/2020 13:52,4/7/2020 13:50
462,32,4/7/2020 14:02,4/7/2020 13:50
463,29,4/7/2020 14:12,4/7/2020 14:05
464,29,4/7/2020 14:22,4/7/2020 14:20
465,28,4/7/2020 14:32,4/7/2020 14:20
466,32,4/7/2020 14:42,4/7/2020 14:35
467,39,4/7/2020 14:52,4/7/2020 14:50
468,39,4/7/2020 15:02,4/7/2020 14:50
469,36,4/7/2020 15:12,4/7/2020 15:05
470,36,4/7/2020 15:22,4/7/2020 15:20
471,35,4/7/2020 15:32,4/7/2020 15:20
472,39,4/7/2020 15:42,4/7/2020 15:35
473,39,4/7/2020 15:52,4/7/2020 15:50
474,43,4/7/2020 16:02,4/7/2020 15:50
475,40,4/7/2020 16:12,4/7/2020 16:05
476,36,4/7/2020 16:22,4/7/2020 16:20
477,38,4/7/2020 16:33,4/7/2020 16:20
478,43,4/7/2020 16:43,4/7/2020 16:35
479,42,4/7/2020 16:53,4/7/2020 16:50
480,48,4/7/2020 17:03,4/7/2020 16:50
481,44,4/7/2020 17:13,4/7/2020 17:05
482,41,4/7/2020 17:23,4/7/2020 17:20
483,42,4/7/2020 17:33,4/7/2020 17:20
484,46,4/7/2020 17:43,4/7/2020 17:35
485,45,4/7/2020 17:53,4/7/2020 17:50
486,49,4/7/2020 18:03,4/7/2020 17:50
487,46,4/7/2020 18:13,4/7/2020 18:05
488,42,4/7/2020 18:21,4/7/2020 18:20
489,44,4/7/2020 18:31,4/7/2020 18:20
490,47,4/7/2020 18:41,4/7/2020 18:35
491,46,4/7/2020 18:51,4/7/2020 18:50
492,49,4/7/2020 19:01,4/7/2020 18:50
493,44,4/7/2020 19:11,4/7/2020 19:05
494,39,4/7/2020 19:21,4/7/2020 19:20
495,37,4/7/2020 19:31,4/7/2020 19:20
496,33,4/7/2020 19:41,4/7/2020 19:35
497,32,4/7/2020 19:51,4/7/2020 19:50
498,32,4/7/2020 20:01,4/7/2020 19:50
499,28,4/7/2020 20:11,4/7/2020 20:05
500,25,4/7/2020 20:21,4/7/2020 20:20
501,23,4/7/2020 20:31,4/7/2020 20:20
502,20,4/7/2020 20:41,4/7/2020 20:35
503,18,4/7/2020 20:51,4/7/2020 20:50
504,18,4/7/2020 21:01,4/7/2020 20:50
505,4,4/8/2020 6:02,4/8/2020 5:50
506,4,4/8/2020 6:12,4/8/2020 6:05
507,4,4/8/2020 6:22,4/8/2020 6:20
508,5,4/8/2020 6:32,4/8/2020 6:20
509,6,4/8/2020 6:42,4/8/2020 6:35
510,7,4/8/2020 6:52,4/8/2020 6:50
511,10,4/8/2020 7:02,4/8/2020 6:50
512,10,4/8/2020 7:12,4/8/2020 7:05
513,10,4/8/2020 7:22,4/8/2020 7:20
514,11,4/8/2020 7:32,4/8/2020 7:20
515,13,4/8/2020 7:42,4/8/2020 7:35
516,13,4/8/2020 7:52,4/8/2020 7:50
517,16,4/8/2020 8:02,4/8/2020 7:50
518,16,4/8/2020 8:12,4/8/2020 8:05
519,15,4/8/2020 8:22,4/8/2020 8:20
520,16,4/8/2020 8:32,4/8/2020 8:20
521,16,4/8/2020 8:42,4/8/2020 8:35
522,18,4/8/2020 8:52,4/8/2020 8:50
523,20,4/8/2020 9:02,4/8/2020 8:50
524,18,4/8/2020 9:12,4/8/2020 9:05
525,17,4/8/2020 9:22,4/8/2020 9:20
526,18,4/8/2020 9:32,4/8/2020 9:20
527,17,4/8/2020 9:42,4/8/2020 9:35
528,20,4/8/2020 9:52,4/8/2020 9:50
529,21,4/8/2020 10:02,4/8/2020 9:50
530,19,4/8/2020 10:12,4/8/2020 10:05
531,19,4/8/2020 10:22,4/8/2020 10:20
532,20,4/8/2020 10:32,4/8/2020 10:20
533,19,4/8/2020 10:42,4/8/2020 10:35
534,21,4/8/2020 10:52,4/8/2020 10:50
535,23,4/8/2020 11:02,4/8/2020 10:50
